STEP,런,구간,계정·역할,화면,조작 (그대로 따라 하기),확인 (이게 안 되면 결함),커버 TC,결과,비고
230,C 마목 중개,C3 만료·중지,QA → 개발팀,슬랙,[R-24] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 시세 소스를 중단 상태로 둔 채 이탈 값을 다시 주입해 주세요. 중단 중에는 price guard 판정도 멈추는지 확인용입니다. 확인 후 정상 복구 부탁드립니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-24,,
231,C 마목 중개,C3 만료·중지,QA (요청 반영 후),-,중단 상태에서 이탈 값이 들어간 뒤 게시 상태를 확인한다,시세 중단 중에는 price guard 판정도 멈춘다,I-C-07,,
232,C 마목 중개,C3 만료·중지,기관 B,BRK-02,중지된 게시를 재개할 방법을 찾아본다,재개 동선이 없고 재게시로만 가능하다,I-C-07,,
233,C 마목 중개,C4 보류·중지,기관 B · C · 관리자,ADM-02 ① · BRK-05,게시 #5를 확정까지 만든 뒤 ① T2 행에 사유를 넣어 [보류],"BRK-05에 ""이전 보류"" 배너(일반화 사유). HOLD 유지·만료 시한 없음",U-BRK05-05 · I-C-09,,
234,C 마목 중개,C4 보류·중지,관리자,ADM-02 ①,건을 보완했다고 보고 [승인] → 예치·인도까지 완결한다,보류에서 승인으로 재검토되어 정상 완결된다,I-C-09,,
235,C 마목 중개,C4 보류·중지,기관 B · C · 관리자,ADM-02 ①,게시 #6을 확정까지 만든 뒤 ① T2 행에 사유를 넣어 [이전 중지],종결·되돌릴 수 없음. 자산 이동 없고 수수료 미부과,U-ADM02-23 · I-C-10,,
236,C 마목 중개,C4 보류·중지,관리자,ADM-02 ①,별도 건을 ① [보류]로 둔 뒤 같은 행에서 [이전 중지]를 누른다,보류에서 이전 중지로 가는 경로도 종결된다,I-C-10,,
237,C 마목 중개,C4 보류·중지,기관 B · C,BRK-05,양측 화면을 본다,이전 중지 배너가 보인다,U-BRK05-05 · I-C-10,,
238,C 마목 중개,C4 보류·중지,기관 B · C · 관리자,ADM-02 ②,"게시 #7을 확정·승인해 예치 2건을 완료시킨 뒤, ② 예치·인도 행에서 [이전 중지] + 사유",남은 예치·인도 행이 제거되고 예치 건수만큼 반환 행이 생긴다. 수수료 미부과,U-ADM02-24 · I-C-11,,
239,C 마목 중개,C4 보류·중지,관리자,ADM-02 ②,반환 행을 일치 txhash로 [완료],반환이 콜드 집행으로 완결된다,I-C-11,,
240,C 마목 중개,C4 보류·중지,관리자,ADM-02 ②,반환 행과 수수료 스윕 행에 각각 명세와 다른 txhash로 [완료]를 시도한다,두 유형 모두 완료가 차단되고 ④ N3 알림,I-C-22,,
241,C 마목 중개,C4 보류·중지,기관 B · C,BRK-05,양측 화면을 본다,이전 중지 배너와 반환 안내가 보인다,U-BRK05-05 · I-C-11,,
242,C 마목 중개,C5 예외,기관 B · C · 관리자,ADM-02 ②④,게시 #8을 확정·승인한 뒤 예치 행에 불일치 txhash로 [완료]를 시도,완료 차단·행 정지. 인도 자동 생성도 정지. ④ N3 알림,I-C-14,,
243,C 마목 중개,C5 예외,관리자,ADM-02 ②④,정정 후 [조치 완료 · 정정 완료 재대사] → 예치·인도를 완결한다,② 행이 재활성되어 완결된다,I-C-14,,
244,C 마목 중개,C5 예외,기관 B · C · 관리자,ADM-02 ②,게시 #9를 확정·승인해 예치 2건을 완료시킨다,예치 2건 완료. 기관 B가 아직 02 활성이어야 여기까지 온다,전제,,
245,C 마목 중개,C5 예외,QA → 개발팀,슬랙,[R-25] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 B를 04 거래중지로 바꾸고 관문을 태워 주세요. 예치가 이미 끝난 건의 반환 행 생성(AC-08) 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-25,,
246,C 마목 중개,C5 예외,기관 B · C · 관리자,ADM-02 ② · BRK-05,기관 B 비활성 반영 후 ② 목록과 BRK-05를 확인한다,반환 행이 생성된다(ST-06과 동일). BRK-05 이전 중지 배너. 이메일 ⑤,I-C-16,,
247,C 마목 중개,C5 예외,개발 지원 · 관리자,ADM-02 ②· BRK-05,"기관 B를 02로 되돌린 뒤, 예치 2건이 완료된 마목 건에 커스터디 중지 알림을 발신하게 한다",미집행 ② 행 거절 · 거래 거절 · 예치 완료분 반환 행 생성. BRK-05에 이전 중지 배너와 반환 안내. 사유는 안 나온다,I-C-19,,
248,C 마목 중개,C5 예외,관리자,ADM-02 ①②,해당 기관의 ① 대기 행과 ② 미집행 행이 있는 상태에서 기관을 02 외로 만든다,① 행 전부 제거·종결(거절). ② 미집행 행 제거. 마목이면 반환 행 생성,U-ADM02-30,,
249,C 마목 중개,C5 예외,QA → 개발팀,슬랙,[R-26] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 B를 02 활성으로 되돌려 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-26,,
250,C 마목 중개,C5 예외,QA (요청 반영 후),-,기관 B가 다시 거래 가능한지 확인한다,복구,전제,,
251,C 마목 중개,C5 예외,QA → 개발팀,슬랙,[R-27] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 수수료 스윕 정책 주기 배치를 지금 강제 실행해 주세요. ST-09 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-27,,
252,C 마목 중개,C5 예외,관리자,ADM-02 ②,배치 실행 후 ② 목록을 확인한다,에스크로 잔여가 자산별 1행으로 묶여 스윕 행이 생긴다,U-ADM02-27 · I-C-15,,
253,C 마목 중개,C5 예외,관리자,ADM-02 ②,스윕 행을 [완료],운영 지갑(수수료풀)으로 이전된다. 고객 화면과 무관,I-C-15,,
254,D 교차·마무리,D1 잠금 이관,기관 D · 관리자,ADM-02 ①②④,"기관 D로 ① 대기 1건과 ② 미집행 1건을 만들어 둔 뒤, 기관 D를 로그인 실패 5회로 잠근다",④에 T8 행이 생긴다,전제,,
255,D 교차·마무리,D1 잠금 이관,관리자,ADM-02 ④,④ T8 행에서 [확인] → [조치 완료 · 잠금 유지·이관] + 사유,로그인 불가 유지. ③ AML 행 생성. 커스터디 통보. ①② 대기 건 일괄 거절. 통지하지 않는다,I-A-06,,
256,D 교차·마무리,D1 잠금 이관,관리자,ADM-03,기관 D의 상태 칩을 본다,이 시스템은 기관 상태를 바꾸지 않는다. 칩은 커스터디 조회값 그대로,I-A-06,,
257,D 교차·마무리,D2 3면 대사,QA → 개발팀,슬랙,[R-28] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 3면 대사(내부 장부·온체인·커스터디 콜드 기록) 중 한 값을 어긋나게 만들고 대사 배치를 돌려 주세요. 대상 지갑은 고객 수탁·운영·나목 재고·에스크로 중 아무거나 좋습니다. 확인이 끝나면 일치로 되돌려 주셔야 종결 테스트가 됩니다. OP-04 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-28,,
258,D 교차·마무리,D2 3면 대사,관리자,ADM-02 ④,대사 배치 결과를 ④ 목록에서 확인한다,④ X3 알림 생성. 대상은 고객 수탁·운영·나목 재고·에스크로 4묶음. 해당 지갑 신규 이전 정지,I-B-18,,
259,D 교차·마무리,D2 3면 대사,관리자,ADM-02 ④,불일치를 남긴 채 [조치 완료]를 눌러본다. 이어서 일치시킨 뒤 다시 누른다,최신 배치가 일치일 때만 종결이 활성된다,I-B-18,,
260,D 교차·마무리,D2 3면 대사,관리자,ADM-02 ④,불일치가 난 지갑을 거치는 신규 이전을 시도한다,그 지갑의 신규 이전이 정지된다(정지 범위는 [확인필요]),I-B-18,,
261,D 교차·마무리,D3 알림 유형,관리자,ADM-02 ④,④ 목록에서 지금까지 생긴 유형을 훑는다,N1 시세중단 · N2 재고부족 · N3 대사불일치 · X3 3면대사 · T8 계정잠금 5종,U-ADM02-18,,
262,D 교차·마무리,D4 집계 없음,관리자,ADM-02,홈 전체를 훑는다,어느 화면에도 건수 집계·KPI 카드가 없다,U-ADM02-20,,
263,D 교차·마무리,D5 권한·동시성,QA,ADM-02,고객 세션으로 어드민 API를 직접 호출한다,권한 오류로 차단된다,I-X-05,,
264,D 교차·마무리,D5 권한·동시성,관리자 2명,ADM-02 ①②,두 관리자가 같은 행을 열어두고 동시에 처리 버튼을 누른다,선행만 반영되고 후행은 차단된다,I-X-04,,
265,D 교차·마무리,D6 CSV,관리자,ADM-02,데이터 다운로드에서 CSV 6종을 받아 화면 값과 대조한다,전체 기간 1파일 동기 생성. 어드민 CSV는 원화 표기 유지. 원장은 수탁·운영·재고·에스크로 4분할,U-ADM02-21 · I-X-06,,
266,D 교차·마무리,D6 CSV,관리자,ADM-02,CSV ④에서 나목 스프레드 수익과 마목 중개수수료를 화면 값과 대조한다,구분회계에 기록돼 있고 금액이 화면과 같다. 마목은 인도 집행 시점 기록,I-X-09,,
267,D 교차·마무리,D6 CSV,기관 A,DASH-01,[활동 로그 다운로드 (CSV)]를 받는다,전체 기간 1파일. 원화 환산이 없다. 다운로드 이력 화면도 없다,U-DASH01-09 · I-X-06,,
268,D 교차·마무리,D7 배너,기관 A,전 화면,완료 배너와 실패 배너를 각각 만들어 확인한다,완료 배너는 닫기·자동 닫힘이 없는 고정 배너. 실패 배너는 1종이며 최신 값 재조회를 제공한다,I-X-02,,
269,D 교차·마무리,D8 감사로그,관리자,ADM-02,지금까지의 모든 관리자 처리 액션에 대해 감사로그를 조회한다,로그인·로그아웃·비밀번호 변경·2FA 재설정·승인·보류·거절·이전 중지·완료에 관리자 ID와 시각이 남아 있다,I-A-13,,
